vx	vy	vz	score	numLines
-0.99398382	-0.10952524	-0.00061927	1675.16	184
-0.58885474	0.80822813	0.00417030	1129.17	173
-0.98010567	-0.19847638	-0.00000195	858.94	137

nLines	x1	y1	x2	y2	length
184
	241.50	331.44	236.11	332.31	5.46
	277.03	331.78	284.05	331.30	7.04
	310.10	335.16	298.85	337.09	11.42
	393.90	338.21	403.69	336.42	9.96
	318.01	339.07	325.97	337.61	8.09
	462.31	342.45	471.09	341.71	8.82
	189.53	338.61	197.96	337.87	8.46
	620.02	340.52	628.99	338.80	9.13
	532.08	341.66	539.98	340.72	7.96
	565.01	346.44	594.75	341.56	30.14
	235.78	344.87	241.00	344.27	5.26
	349.96	344.44	359.11	343.82	9.17
	338.17	347.15	349.98	345.84	11.89
	577.90	348.45	572.22	349.70	5.81
	335.78	349.58	318.98	351.87	16.95
	183.06	351.62	190.06	350.91	7.04
	296.03	358.19	319.02	354.95	23.22
	324.01	360.10	329.87	359.16	5.93
	600.97	367.14	606.05	365.95	5.21
	214.94	363.86	220.99	363.01	6.11
	265.06	365.75	276.00	364.25	11.05
	244.98	367.05	261.85	365.45	16.94
	385.91	371.40	380.44	372.57	5.59
	407.99	372.86	415.00	371.98	7.07
	297.14	373.79	305.14	373.10	8.02
	500.87	376.39	493.06	377.84	7.95
	220.99	380.94	230.11	379.81	9.19
	449.97	384.17	461.68	382.43	11.84
	329.75	386.83	340.09	384.72	10.56
	467.01	388.54	475.01	387.13	8.12
	399.95	393.25	410.05	391.95	10.18
	584.03	403.83	603.98	400.42	20.24
	593.98	396.91	609.04	393.58	15.43
	182.96	403.25	176.76	404.22	6.28
	270.95	403.51	277.01	402.64	6.13
	617.20	406.93	627.00	404.78	10.03
	448.71	410.12	442.96	411.60	5.94
	595.10	412.19	604.00	409.68	9.25
173
	245.72	13.88	253.95	10.46	8.91
	456.88	18.43	466.95	14.73	10.73
	267.95	28.78	273.02	27.03	5.36
	291.01	21.02	285.27	23.59	6.29
	543.99	35.98	538.09	37.61	6.12
	501.98	46.05	509.02	44.57	7.20
	570.39	47.93	580.97	45.06	10.96
	459.00	62.00	465.01	61.04	6.09
	414.92	65.17	430.05	61.80	15.49
	470.15	63.20	459.94	65.20	10.40
	522.85	63.87	517.22	64.87	5.72
	566.99	65.98	578.04	64.39	11.17
	399.64	67.56	410.99	65.03	11.62
	439.10	66.21	445.03	64.94	6.07
	578.04	67.10	586.01	65.75	8.08
	397.88	72.68	413.94	69.55	16.36
	387.99	72.15	394.71	70.68	6.88
	479.96	76.87	489.04	74.59	9.36
	616.95	75.88	624.31	75.26	7.38
	382.21	79.48	373.00	80.88	9.31
	398.05	87.07	415.91	83.83	18.15
	474.98	83.95	480.36	83.26	5.42
	382.73	86.20	387.69	85.51	5.00
	509.99	87.15	504.08	87.92	5.96
	525.08	91.69	530.94	90.79	5.93
	602.78	92.78	589.99	93.96	12.85
	575.04	97.14	584.02	95.78	9.09
	489.70	102.95	511.98	98.98	22.63
	549.09	104.04	573.02	100.21	24.24
	466.00	113.00	473.00	112.01	7.07
	603.09	111.78	628.97	108.88	26.04
	563.97	116.31	583.98	113.61	20.19
	374.85	114.22	381.94	113.60	7.12
	458.96	118.13	469.91	117.33	10.97
	520.96	120.20	533.02	118.52	12.18
	477.95	120.39	468.98	121.43	9.03
	528.03	125.90	536.96	125.27	8.96
	496.95	130.80	503.95	129.63	7.09
	479.00	136.41	471.02	136.75	7.99
	508.97	140.44	520.00	139.37	11.08
